ride_id,seat_number,travel_date,travel_time,travel_from,car_type,max_capacity,number_of_tickets
1442,15A,17-10-17,7:15,Migori,Bus,49,1.0
5437,14A,19-11-17,7:12,Migori,Bus,49,1.0
5710,8B,26-11-17,7:05,Keroka,Bus,49,1.0
5777,19A,27-11-17,7:10,Homa Bay,Bus,49,5.0
5778,11A,27-11-17,7:12,Migori,Bus,49,31.0
5777,18B,27-11-17,7:10,Homa Bay,Bus,49,5.0
5777,14A,27-11-17,7:10,Homa Bay,Bus,49,5.0
5778,25,27-11-17,7:12,Migori,Bus,49,31.0
5778,21B,27-11-17,7:12,Migori,Bus,49,31.0
5781,22A,27-11-17,7:09,Homa Bay,Bus,49,26.0
5781,18B,27-11-17,7:09,Homa Bay,Bus,49,26.0
5781,17B,27-11-17,7:09,Homa Bay,Bus,49,26.0
5784,1X,20-04-18,5:10,Kisii,shuttle,11,1.0
5789,1X,20-04-18,9:50,Kisii,shuttle,11,1.0
5778,3A,27-11-17,7:12,Migori,Bus,49,31.0
5790,1B,20-04-18,7:06,Kisii,Bus,49,2.0
5791,1,20-04-18,6:00,Kisii,shuttle,11,1.0
5792,1,20-04-18,5:50,Kisii,shuttle,11,1.0
5793,1,20-04-18,10:58,Kisii,shuttle,11,1.0
5790,4A,20-04-18,7:06,Kisii,Bus,49,2.0
5794,1,20-04-18,6:50,Kisii,shuttle,11,2.0
5781,18A,27-11-17,7:09,Homa Bay,Bus,49,26.0
5778,23A,27-11-17,7:12,Migori,Bus,49,31.0
5795,1,20-04-18,5:30,Kisii,shuttle,11,1.0
5796,5,20-04-18,6:40,Kisii,shuttle,11,2.0
5796,1,20-04-18,6:40,Kisii,shuttle,11,2.0
5794,5,20-04-18,6:50,Kisii,shuttle,11,2.0
5797,16B,27-11-17,7:06,Keroka,Bus,49,3.0
5798,8,20-04-18,9:10,Kisii,shuttle,11,1.0
5797,15B,27-11-17,7:06,Keroka,Bus,49,3.0
5800,1X,19-04-18,5:00,Kisii,shuttle,11,2.0
5801,10,19-04-18,5:20,Kisii,shuttle,11,11.0
5781,19A,27-11-17,7:09,Homa Bay,Bus,49,26.0
5802,3,27-11-17,10:52,Keroka,shuttle,11,3.0
5802,1X,27-11-17,10:52,Keroka,shuttle,11,3.0
5801,9,19-04-18,5:20,Kisii,shuttle,11,11.0
5801,8,19-04-18,5:20,Kisii,shuttle,11,11.0
5800,1,19-04-18,5:00,Kisii,shuttle,11,2.0
5801,7,19-04-18,5:20,Kisii,shuttle,11,11.0
5802,9,27-11-17,10:52,Keroka,shuttle,11,3.0
5801,6,19-04-18,5:20,Kisii,shuttle,11,11.0
5801,5,19-04-18,5:20,Kisii,shuttle,11,11.0
5801,4,19-04-18,5:20,Kisii,shuttle,11,11.0
5803,10,19-04-18,5:10,Kisii,shuttle,11,11.0
5801,3,19-04-18,5:20,Kisii,shuttle,11,11.0
5801,2,19-04-18,5:20,Kisii,shuttle,11,11.0
5801,1,19-04-18,5:20,Kisii,shuttle,11,11.0
5801,1X,19-04-18,5:20,Kisii,shuttle,11,11.0
5803,7,19-04-18,5:10,Kisii,shuttle,11,11.0
5781,20A,27-11-17,7:09,Homa Bay,Bus,49,26.0
5803,9,19-04-18,5:10,Kisii,shuttle,11,11.0
5781,21B,27-11-17,7:09,Homa Bay,Bus,49,26.0
5804,7,27-11-17,10:50,Keroka,shuttle,11,1.0
5803,8,19-04-18,5:10,Kisii,shuttle,11,11.0
5803,5,19-04-18,5:10,Kisii,shuttle,11,11.0
5803,6,19-04-18,5:10,Kisii,shuttle,11,11.0
5803,3,19-04-18,5:10,Kisii,shuttle,11,11.0
5803,4,19-04-18,5:10,Kisii,shuttle,11,11.0
